state,office_name,deck_users,dem_campaigns,pct_of_dem_campaigns_outraised,dem_vote_share_2018,dem_vote_share_2020,dem_change_2018_to_2020
PA,STATE HOUSE,TRUE,40,0.675,0.457,0.392,-0.065
PA,US HOUSE,FALSE,10,0.4,0.592,0.484,-0.108
PA,US HOUSE,TRUE,8,0.5,0.496,0.434,-0.061
RI,STATE HOUSE,FALSE,27,0.222,0.732,0.578,-0.155
RI,STATE HOUSE,TRUE,1,0,0.527,0.536,0.009
RI,STATE SENATE,FALSE,17,0.235,0.755,0.584,-0.171
RI,US HOUSE,FALSE,2,0,0.652,0.643,-0.009
RI,US SENATE,FALSE,1,0,0.616,0.661,0.045
SC,STATE HOUSE,FALSE,35,0.229,0.671,0.559,-0.111
SC,STATE HOUSE,TRUE,10,0.6,0.531,0.432,-0.099
SC,US HOUSE,FALSE,3,0.333,0.506,0.488,-0.018
SC,US HOUSE,TRUE,4,0.75,0.402,0.394,-0.008
SD,STATE HOUSE,FALSE,30,0.9,0.242,0.22,-0.022
SD,STATE HOUSE,TRUE,10,0.9,0.219,0.23,0.011
SD,STATE SENATE,FALSE,13,0.846,0.53,0.431,-0.1
SD,STATE SENATE,TRUE,3,1,0.407,0.295,-0.112
TN,STATE HOUSE,FALSE,33,0.636,0.401,0.365,-0.036
TN,STATE HOUSE,TRUE,2,1,0.48,0.456,-0.024
TN,US HOUSE,FALSE,8,0.875,0.366,0.343,-0.023
TN,US SENATE,TRUE,1,1,0.439,0.35,-0.089
TX,STATE HOUSE,FALSE,43,0.395,0.626,0.545,-0.081
TX,STATE HOUSE,TRUE,20,0.8,0.403,0.382,-0.021
TX,US HOUSE,FALSE,21,0.381,0.542,0.489,-0.053
TX,US HOUSE,TRUE,14,0.714,0.431,0.408,-0.023
TX,US SENATE,FALSE,1,1,0.483,0.437,-0.046
UT,STATE HOUSE,FALSE,33,0.697,0.453,0.443,-0.01
UT,STATE HOUSE,TRUE,5,0.8,0.392,0.369,-0.023
UT,STATE SENATE,FALSE,1,0,0.558,0.593,0.035
UT,US HOUSE,FALSE,4,0.75,0.353,0.353,-0
VA,US HOUSE,FALSE,10,0.2,0.599,0.554,-0.045
VA,US HOUSE,TRUE,2,0,0.507,0.509,0.002
VA,US SENATE,FALSE,1,0,0.571,0.557,-0.014
VT,ATTORNEY GENERAL,FALSE,1,0,0.701,0.679,-0.022
VT,GOVERNOR,FALSE,1,0,0.404,0.275,-0.129
VT,SECRETARY OF STATE,FALSE,1,0,0.668,0.619,-0.049
VT,TREASURER,FALSE,1,1,0.676,0.574,-0.102
WA,US HOUSE,FALSE,10,0.2,0.572,0.576,0.005
WA,US HOUSE,TRUE,1,1,0.615,0.417,-0.198
WI,STATE HOUSE,FALSE,47,0.404,0.713,0.558,-0.155
WI,STATE HOUSE,TRUE,24,0.792,0.417,0.403,-0.014
WI,US HOUSE,FALSE,7,0.571,0.567,0.479,-0.088
WI,US HOUSE,TRUE,1,1,0.38,0.355,-0.026
WV,STATE HOUSE,FALSE,52,0.692,0.373,0.3,-0.073
WV,STATE SENATE,FALSE,13,0.615,0.492,0.429,-0.064
WV,US HOUSE,FALSE,2,1,0.433,0.327,-0.106
WV,US HOUSE,TRUE,1,1,0.354,0.314,-0.041
WV,US SENATE,FALSE,1,1,0.496,0.27,-0.225
WY,STATE HOUSE,FALSE,12,0.417,0.556,0.448,-0.108
WY,STATE HOUSE,TRUE,3,0.667,0.474,0.458,-0.016
WY,US SENATE,TRUE,1,1,0.301,0.269,-0.033
